"time","electro_Mechanical_Model.omega","electro_Mechanical_Model.theta","thermal_model.MainBody.T","thermal_model.Panel1.T","thermal_model.Radiator1.T","electro_Mechanical_Model.resistor.i"
9.3,4.7193976889768236e-5,-0.5160531014347217,294.385967484082,322.55001133456375,288.66227512647055,-1.4402167333955454e-6
9.4,3.7500480307603e-5,-0.5007901469576542,294.33749982673953,322.5126427272451,288.50998321305667,-1.5448768774568524e-6
9.5,2.7259843987945613e-5,-0.48912325923352934,294.28629653815227,322.47285224525535,288.3807219601727,-1.6090711238633808e-6
9.6,1.67341764864687e-5,-0.481202063239266,294.233668160772,322.4316702113505,288.27654766364583,-1.6329960012020314e-6
9.7,6.181450863552214e-6,-0.4770827449766269,294.180904558108,322.39011687852786,288.1988814591875,-1.6177269057659461e-6
9.759418641978677,5.183933766501185e-10,-0.47642460612135623,294.14999994058496,322.36565689052884,288.16563635813674,-1.5908308381518407e-6
9.759418641978677,5.183933766501185e-10,-0.47642460612135623,294.14999994058496,322.36565689052884,288.16563635813674,-1.5908308381518407e-6
9.8,-4.149865784483179e-6,-0.476728198693883,294.1292480624702,322.3491810078374,288.14849969400115,-1.565166407922028e-6
9.9,-1.4024945342478495e-5,-0.48001424442906304,294.0798728100818,322.309802908587,288.12557991703085,-1.4779263570591386e-6
10,-2.32337828909085e-5,-0.4867447027941003,294.0338288203025,322.2728291239533,288.1297295135158,-1.3591493816070237e-6
10.1,-3.1579542533268436e-5,-0.4966414285387214,293.99210026623393,322.23905925538685,288.15997759689037,-1.2126638775345587e-6
10.2,-3.889763485464907e-5,-0.5093608530825767,293.9555100878559,322.2091692219526,288.2147910811142,-1.0427274975420887e-6
10.3,-4.505141621017611e-5,-0.5245089524337124,293.92474149573866,322.1837273703796,288.292176038583,-8.539316711016736e-7
10.4,-4.993413045472142e-5,-0.541646815966355,293.90032826248637,322.1631864703299,288.3896971581984,-6.511499454753069e-7
10.5,-5.347124414029804e-5,-0.5603020515357157,293.88264304690557,322.1478737871447,288.5045242390425,-4.3944159838330607e-7
10.6,-5.562129740494514e-5,-0.5799818550294918,293.8718931397652,322.1379869200555,288.63350686576587,-2.2393220907516386e-7
10.7,-5.637621832581236e-5,-0.6001840702641593,293.86811889217245,322.1335918896555,288.7732324280048,-9.724714527099305e-9
10.8,-5.576057042458394e-5,-0.6204094457289203,293.8711974782371,322.13462537454416,288.9201080536996,1.9821117461872702e-7
10.9,-5.383050629021431e-5,-0.6401734751518772,293.88084812713777,322.14089810927453,289.07044482528045,3.9515021626853065e-7
11,-5.0672171856839305e-5,-0.6590180441041859,293.89664010191547,322.1521004461697,289.2205439657985,5.767181674730366e-7
11.1,-4.639871107237623e-5,-0.6765221952928122,293.9180076763004,322.167813436358,289.3667886675737,7.389891661707971e-7
11.2,-4.114563709493311e-5,-0.6923073967809891,293.9442732787861,322.1875268669293,289.5057200688184,8.78545338334981e-7
11.3,-3.506913903286786e-5,-0.7060489448717772,293.9746559591625,322.2106450975594,289.63413281750735,9.925928291394076e-7
11.4,-2.83415890911787e-5,-0.717480096390717,294.00829385293133,322.2365044051801,289.7491627581321,1.0790341065056996e-6
11.5,-2.1147271331297128e-5,-0.7263997257447119,294.0442655374721,322.26438935731113,289.84832911101216,1.13648143360623e-6
11.6,-1.3676739894093524e-5,-0.7326737849395092,294.08161824108686,322.2935550213369,289.9296354877172,1.1643359347463793e-6
11.7,-6.121459295191266e-6,-0.7362371885925534,294.11939464149583,322.3232479535129,289.99160927985037,1.1627807592940328e-6
11.7819251332041,-3.681827908858076e-10,-0.7371368058973303,294.150000059415,322.3474451034807,290.02728990956314,1.1401985783870818e-6
11.7819251332041,-3.681827908858076e-10,-0.7371368058973303,294.150000059415,322.3474451034807,290.02728990956314,1.1401985783870818e-6
11.8,1.3307588229299127e-6,-0.7370934928531422,294.15665568197363,322.3527240982238,290.0332975187661,1.132716629876155e-6
11.9,8.49538793547933e-6,-0.7353175721602412,294.19247873280017,322.38124722682386,290.0543411361996,1.0758756270055103e-6
12,1.5209695908453442e-5,-0.7310421451876128,294.22605013709597,322.4081631829225,290.05493292413087,9.945348370671873e-7
12.1,2.1330360835184612e-5,-0.7244471585797481,294.2566532898744,322.43289118082083,290.0357346718647,8.914222463676812e-7
12.2,2.672352711463093e-5,-0.7157759580888727,294.28361891878797,322.45488323757314,289.9979412671299,7.699324528190944e-7
12.3,3.1278921434017026e-5,-0.705309868279834,294.30639566343984,322.47368200267687,289.94315265154887,6.337657818510461e-7
12.4,3.4914174606395455e-5,-0.6933660957558158,294.3245716844691,322.48893806906904,289.8733679840791,4.868663731814744e-7
